level,M,N,seed,leniencyMetric
all,2,2,1638779493,-50.0854
all,2,2,1642285350,-56.0556
all,2,2,1648594268,-43.1000
all,2,2,1659319565,-49.7571
all,2,2,1659681847,-46.0806
all,2,2,1659788427,-54.7727
all,2,2,1660116134,-45.6000
all,2,2,1660858439,-55.3966
all,2,2,1662026530,-52.7083
all,2,2,166334781,-40.2586
all,2,2,1668298390,-55.6818
all,2,2,1676205199,-41.9242
all,2,2,1683701218,-50.7558
all,2,2,168411250,-59.6111
all,2,2,1685594765,-57.4167
all,2,2,1685953196,-51.1333
all,2,2,1689953685,-58.0143
all,2,2,1692230270,-49.5278
all,2,2,1693222528,-62.4655
all,2,2,1694557525,-46.6795
all,2,2,1700537822,-47.3286
all,2,2,1709298975,-53.6389
all,2,2,1709478317,-49.2857
all,2,2,1710004275,-48.3235
all,2,2,1711956355,-60.3333
all,2,2,1718609653,-47.8235
all,2,2,1725833495,-49.7195
all,2,2,1730713732,-59.3974
all,2,2,1733433064,-53.0517
all,2,2,1737967903,-43.1250
all,2,2,1740515410,-56.2368
all,2,2,174212528,-47.7647
all,2,2,1742669303,-56.7500
all,2,2,1748951366,-52.9211
all,2,2,175792671,-55.2317
all,2,2,1759910763,-50.0000
all,2,2,1771368512,-49.9444
all,2,2,1775477823,-56.7619
all,2,2,1777348510,-49.4118
all,2,2,177959133,-51.5741
all,2,2,177966273,-46.2429
all,2,2,1786689215,-51.2179
all,2,2,1787252675,-37.9828
all,2,2,1787757971,-45.5741
all,2,2,179368904,-53.7432
all,2,2,1798882863,-45.1486
all,2,2,1809064433,-45.9483
all,2,2,1817946229,-54.8611
all,2,2,1821314341,-53.3205
all,2,2,1823838736,-52.0641
all,2,2,184032032,-58.4688
all,2,2,1842765308,-60.0600
all,2,2,184290847,-49.8714
all,2,2,1846150510,-53.4394
all,2,2,1846775960,-42.2778
all,2,2,1852571051,-51.1585
all,2,2,1857201172,-52.6613
all,2,2,1859661651,-49.1944
all,2,2,1866142325,-55.4032
all,2,2,1868128983,-53.9595
all,2,2,1875658582,-58.0263
all,2,2,1884345550,-42.1875
all,2,2,1885977511,-58.4000
all,2,2,1890166409,-56.4231
all,2,2,1898685145,-49.9483
all,2,2,1899385250,-52.3710
all,2,2,1903222177,-51.1842
all,2,2,1905892850,-49.0500
all,2,2,1906888320,-54.1154
all,2,2,1907504506,-54.7500
all,2,2,1909953860,-46.3611
all,2,2,1911499045,-52.8421
all,2,2,1913701577,-48.6818
all,2,2,1921675435,-45.0714
all,2,2,1922336217,-53.0263
all,2,2,1923293932,-49.0250
all,2,2,1924478780,-57.8548
all,2,2,1929143819,-55.7000
all,2,2,1930057449,-44.0758
all,2,2,1946703899,-46.7333
all,2,2,1952120809,-49.2750
all,2,2,1953730364,-54.1061
all,2,2,1958249671,-42.1364
all,2,2,1971687126,-52.9250
all,2,2,1975378217,-51.5000
all,2,2,1994848862,-49.4000
all,2,2,1996750919,-44.8871
all,2,2,19987042,-49.1216
all,2,2,2007663477,-55.4070
all,2,2,2009060528,-58.0455
all,2,2,2013935682,-48.3667
all,2,2,2024076555,-45.4250
all,2,2,2025122643,-48.9667
all,2,2,2027723575,-58.7162
all,2,2,203299549,-50.3605
all,2,2,2033382145,-45.5800
all,2,2,2038270502,-51.8448
all,2,2,2038618736,-49.9412
all,2,2,2040354731,-48.5294
all,2,2,204558474,-55.6000
all,2,2,2050174941,-51.2632
all,2,2,2052630850,-45.7813
all,2,2,2053017727,-56.1250
all,2,2,2060512113,-50.1304
all,2,2,2060726550,-47.1486
all,2,2,2064428677,-47.9839
all,2,2,2064475016,-43.0000
all,2,2,2072930703,-50.7647
all,2,2,2075829375,-57.4697
all,2,2,2080281558,-50.3286
all,2,2,2081320690,-47.8438
all,2,2,2088086414,-48.1410
all,2,2,2099656195,-52.8143
all,2,2,2100472900,-51.0758
all,2,2,2100861519,-50.2857
all,2,2,2121234753,-51.2143
all,2,2,2128838152,-43.0806
all,2,2,2129654792,-51.9000
all,2,2,2131848898,-49.1538
all,2,2,2135129025,-48.7564
all,2,2,2137030993,-60.8871
all,2,2,220459629,-55.6818
all,2,2,223479059,-52.2778
all,2,2,227473748,-49.2667
all,2,2,228040645,-45.9583
all,2,2,233091047,-54.4750
all,2,2,23526999,-44.2778
all,2,2,239745500,-58.6957
all,2,2,241126537,-49.7333
all,2,2,241484541,-45.2895
all,2,2,245090990,-50.6351
all,2,2,257047320,-54.2209
all,2,2,260173809,-57.9595
all,2,2,263363288,-56.5625
all,2,2,273700667,-53.1774
all,2,2,275086473,-51.3788
all,2,2,275873958,-55.1512
all,2,2,279713527,-47.1591
all,2,2,281041328,-47.3125
all,2,2,281685584,-52.8696
all,2,2,286213106,-52.9615
all,2,2,296357377,-50.1552
all,2,2,302691776,-50.3108
all,2,2,314026545,-47.9063
all,2,2,321690976,-50.3788
all,2,2,333380768,-53.0909
all,2,2,333404768,-53.9146
all,2,2,33780075,-43.0152
all,2,2,347353465,-53.2500
all,2,2,349724904,-47.8846
all,2,2,351188020,-45.2500
all,2,2,364977488,-52.9545
all,2,2,371020991,-45.1316
all,2,2,371044287,-58.2586
all,2,2,373061603,-46.7121
all,2,2,377205931,-46.4032
all,2,2,377370709,-51.2609
all,2,2,378590346,-50.9750
all,2,2,380063568,-49.6379
all,2,2,380668889,-53.9737
