level,M,N,seed,Leniency
13modified,5,5,1804949198,-22.0000
13modified,5,5,1811685993,-27.1000
13modified,5,5,1812437453,-20.0556
13modified,5,5,1813368515,-24.6111
13modified,5,5,1816096716,-20.0556
13modified,5,5,1824069995,-20.0556
13modified,5,5,1826610638,-22.0000
13modified,5,5,1828804215,-18.6000
13modified,5,5,1837565764,-22.3889
13modified,5,5,1852825637,-25.2000
13modified,5,5,1866473378,-22.0000
13modified,5,5,1869630510,-26.5952
13modified,5,5,1873956624,-22.0000
13modified,5,5,1876292320,-22.0000
13modified,5,5,1878650599,-20.0556
13modified,5,5,1879923818,-22.0000
13modified,5,5,1882938830,-22.0000
13modified,5,5,1884265282,-20.0556
13modified,5,5,1896649242,-22.0000
13modified,5,5,1897999641,-22.0000
13modified,5,5,1908695272,-30.7222
13modified,5,5,190875860,-26.7105
13modified,5,5,1909335103,-22.0000
13modified,5,5,191007437,-20.0556
13modified,5,5,1910913144,-18.6000
13modified,5,5,1916217567,-32.1000
13modified,5,5,1918777657,-33.3500
13modified,5,5,19260823,-25.1316
13modified,5,5,1926099283,-20.0556
13modified,5,5,1927950256,-20.0556
13modified,5,5,1930138990,-20.0556
13modified,5,5,193463260,-20.0556
13modified,5,5,1935288918,-22.0000
13modified,5,5,193577180,-22.0000
13modified,5,5,1939847064,-22.0000
13modified,5,5,1942842417,-22.0000
13modified,5,5,1944044830,-27.1000
13modified,5,5,1950511244,-22.0000
